Delay terms,Humidity,Temperature,dAICc,Rtmax/Rtmin
FALSE,TRUE,TRUE,-12.71,1.5 (1.2;1.9)
FALSE,FALSE,TRUE,-12.01,1.6 (1.2;2)
TRUE,FALSE,TRUE,-6.57,1.5 (1.1;2.2)
FALSE,TRUE,FALSE,-1.57,1.4 (1.1;2)
TRUE,TRUE,TRUE,-1.31,1.5 (1.2;2.1)
FALSE,FALSE,FALSE,0,1 (1;1)
TRUE,FALSE,FALSE,0,1 (1;1)
TRUE,TRUE,FALSE,3.85,1.4 (1.1;2.2)
