Delay terms,Humidity,Temperature,Rsq,dAICc,Rtmax/Rtmin
FALSE,FALSE,TRUE,0.75,-12.01,1.8 (1.3;2.4)
FALSE,TRUE,TRUE,0.76,-7.7,1.8 (1.4;2.4)
FALSE,TRUE,FALSE,0.71,-6.86,1.4 (1.1;1.8)
TRUE,FALSE,TRUE,0.75,-6.24,1.8 (1.3;2.4)
TRUE,TRUE,FALSE,0.71,-3.62,1.3 (1.1;1.7)
FALSE,FALSE,FALSE,0.68,0,1 (1;1)
TRUE,FALSE,FALSE,0.68,0,1 (1;1)
TRUE,TRUE,TRUE,0.78,2.15,1.8 (1.4;2.6)
