Delay terms,Humidity,Temperature,dAICc,Rtmax/Rtmin
FALSE,TRUE,TRUE,-18.96,2.5 (1.7;3.7)
FALSE,FALSE,TRUE,-12.47,2.6 (1.7;3.9)
TRUE,FALSE,TRUE,-6.6,2.5 (1.6;4.1)
FALSE,TRUE,FALSE,-1.57,1.4 (1.1;2)
TRUE,TRUE,TRUE,-1.42,2.6 (1.7;4)
FALSE,FALSE,FALSE,0,1 (1;1)
TRUE,FALSE,FALSE,0,1 (1;1)
TRUE,TRUE,FALSE,7.94,1.5 (1.1;2.5)
