temp,ah,Xdelay,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday
FALSE,FALSE,FALSE,1 (1;1),1 (1;1),1 (1;1),1 (1;1),1 (1;1),1 (1;1),1 (1;1)
TRUE,FALSE,FALSE,1.5 (1.2;1.8),1.5 (1.2;1.7),1.5 (1.3;1.8),1.4 (1.2;1.6),1.2 (1.1;1.4),1.2 (1.1;1.4),1.3 (1.1;1.5)
FALSE,TRUE,FALSE,1.5 (1.2;1.9),1.5 (1.2;1.8),1.6 (1.3;1.9),1.4 (1.2;1.6),1.2 (1;1.4),1.2 (1;1.4),1.3 (1.1;1.6)
TRUE,TRUE,FALSE,1.4 (1.2;1.8),1.4 (1.2;1.7),1.5 (1.3;1.8),1.4 (1.2;1.6),1.2 (1.1;1.4),1.2 (1.1;1.4),1.3 (1.1;1.5)
TRUE,FALSE,TRUE,1.5 (1.1;1.9),1.4 (1.1;1.8),1.4 (1.2;1.8),1.3 (1.1;1.5),1.2 (1.1;1.5),1.3 (1.1;1.6),1.4 (1.1;1.7)
FALSE,TRUE,TRUE,1.4 (1.1;1.9),1.4 (1.1;1.9),1.4 (1.1;1.9),1.3 (1.1;1.6),1.2 (1;1.5),1.2 (1;1.5),1.3 (1.1;1.7)
TRUE,TRUE,TRUE,1.4 (1.2;1.8),1.4 (1.2;1.8),1.4 (1.2;1.8),1.3 (1.1;1.5),1.3 (1.1;1.5),1.3 (1.1;1.6),1.3 (1.1;1.6)
