Delay terms,Humidity,Temperature,Rsq,dAICc,Rtmax/Rtmin
FALSE,FALSE,TRUE,0.75,-15.12,1.84 (1.4;2.46)
FALSE,TRUE,FALSE,0.72,-10.46,1.5 (1.17;1.92)
FALSE,TRUE,TRUE,0.76,-9.35,1.84 (1.4;2.45)
TRUE,FALSE,TRUE,0.75,-9.21,1.83 (1.32;2.57)
TRUE,TRUE,FALSE,0.71,-6.19,1.36 (1.09;1.9)
FALSE,FALSE,FALSE,0.68,0,1 (1;1)
TRUE,FALSE,FALSE,0.68,0,1 (1;1)
TRUE,TRUE,TRUE,0.77,2.51,1.89 (1.4;2.68)
